name,psnr,ssim,lpips
DJI_20260110101631_0339_V,23.406870831694448,0.7283639311790466,0.19726716727018356
DJI_20260110101706_0362_V,21.215156402612656,0.7228445410728455,0.23798437416553497
DJI_20260110101709_0365_V,23.933211891956468,0.8196949362754822,0.1804528310894966
DJI_20260110101714_0372_V,26.714849464785708,0.937595009803772,0.11208202689886093
DJI_20260110101716_0374_V,26.42379236575325,0.8845438957214355,0.1366782709956169
DJI_20260110101719_0378_V,26.09020812539812,0.871570885181427,0.11999194696545601
DJI_20260110101720_0379_V,23.54592359661215,0.7246153354644775,0.1943543702363968
DJI_20260110101729_0389_V,22.766310984342923,0.7667356729507446,0.16842500120401382
DJI_20260110101734_0395_V,22.33588659407028,0.5612096786499023,0.31170853972435
DJI_20260110101736_0398_V,22.625641784074002,0.7623373866081238,0.18305478245019913
DJI_20260110101739_0400_V,22.900409075632492,0.6608290076255798,0.24902434647083282
DJI_20260110101753_0402_V,20.55093810314809,0.4943521320819855,0.37876464426517487
DJI_20260110101754_0403_V,21.181690779391698,0.535826563835144,0.33507777750492096
DJI_20260110101756_0404_V,22.170719174102164,0.6167314052581787,0.280257984995842
DJI_20260110101802_0408_V,21.89639409866681,0.5870452523231506,0.30100153386592865
DJI_20260110101807_0414_V,26.315424247671192,0.8882201910018921,0.11257804930210114
DJI_20260110101810_0417_V,25.12075027281634,0.9205068945884705,0.11469659581780434
DJI_20260110101824_0435_V,25.13183988034333,0.8369784951210022,0.1740785762667656
DJI_20260110101826_0438_V,24.434491387135257,0.829976499080658,0.18833252042531967
DJI_20260110101829_0441_V,23.78879827239508,0.7982542514801025,0.19127856940031052
DJI_20260110101837_0451_V,27.304112066984537,0.9315798282623291,0.16013363003730774
DJI_20260110101846_0459_V,21.79927913542035,0.7301738858222961,0.22954100370407104
DJI_20260110101932_0465_V,22.37258441659648,0.6970860362052917,0.216929592192173
DJI_20260110101939_0470_V,20.905751244926805,0.5695372223854065,0.28561362624168396
DJI_20260110101941_0471_V,19.562967173061132,0.5618560314178467,0.29472683370113373
DJI_20260110101942_0473_V,18.69967069029499,0.5135396718978882,0.32096004486083984
